Potential,Num,A1X,A2Y,A3Z,TotalEnergy,NumberOfAtoms,LatticeConstant,CohesiveEnergy,PressureX,PressureY,PressureZ,Volume,Mass,Density
M2,128,1.004054505700081,1.7390723603948428,1.626044330457924,-16561.3206876663,2560,3.22030034980203,-6.46926589361965,0.118686870373152,-0.108279348620762,-0.0125235812923335,59952.1230441831,233533.439999988,3.89533227752218
M2R,115,1.005372385084055,1.7413562502206767,1.6281690032327805,-16561.3205405801,2560,3.22049757455382,-6.4692658361641,0.0322724111176075,-0.044461456345678,0.0089712730136231,59962.8284671603,233533.439999988,3.8946368270117
M3,164,1.0016035332910205,1.7348281644198345,1.6004477267115904,-16984.8555397573,2560,3.23405535110207,-6.6347091952177,-0.0162698018716116,0.0008994046470766,0.0153906394130771,59914.0368423079,233533.439999988,3.89780846539587
M3R,109,1.0015232319152565,1.7346891227016257,1.6002641314716015,-16984.8474109128,2560,3.23448298818785,-6.63470601988781,-0.0290175723914597,-0.0312812766411159,0.0611800990649372,59935.7381581254,233533.439999988,3.89639716097045
BMD192,111,1.00408829942543,1.7391322114384198,1.605360262956833,-16901.2857847848,2560,3.21943504818077,-6.60206475968156,0.0650729974713902,-0.0176175018139297,-0.0482357540236128,59139.857283044,233533.439999988,3.9488333372584
BMD192R,121,1.0035337455287945,1.738171244961238,1.6044762837611612,-16901.2833190185,2560,3.21946660830079,-6.6020637964916,-0.0078594138797171,0.0584666799441615,-0.0506072658180256,59141.6790611322,233533.439999988,3.94871169887812
MtpPd,108,1.0188126173552732,1.7646352434075996,1.608387619073643,-17994.548528695,2560,3.24027696163258,-7.02912051902148,0.0182450810565355,-0.0848649175340911,0.0670331776529329,59536.5155509424,233533.44,3.9225244849974
