Step,Time,Temp,Pressure,Volume,EnergyKinetic,EnergyPotential,EnergyTotal,EnergyTotalPerAtom,NoOfNeighbors,MinDist
300,0.0236,30.88938720045766928,385.52983118309742849,251605.31808377601556,42.9262344529607,-71305.5393888151,-71262.6131543621,-6.6278,3,2.0443
310,0.0246,31.166475860753095617,386.89769140803252867,251605.31808377601556,43.3112978638633,-71305.9244777599,-71262.613179896,-6.6278,4,2.0523
320,0.0257,31.632224418338473981,387.58177031313675798,251605.31808377601556,43.9585373720249,-71306.5717505361,-71262.613213164,-6.6278,4,2.0655
330,0.0268,32.263700568002164459,387.33638926758055732,251605.31808377601556,44.8360845074215,-71307.449335766,-71262.6132512585,-6.6278,4,2.0837
340,0.0279,33.029375043850322413,385.86664371940571527,251605.31808377601556,45.9001238116528,-71308.5134146908,-71262.6132908791,-6.6278,4,2.1068
350,0.0291,33.89216630793058016,382.84051170219237292,251605.31808377601556,47.099123968099,-71309.7124539369,-71262.6133299688,-6.6278,6,2.1333
360,0.0302,34.811863567066623659,378.04423496801365445,251605.31808377601556,48.3772050098243,-71310.9905736598,-71262.61336865,-6.6278,10,2.1634
370,0.0314,35.745929019502085566,371.63968523772729213,251605.31808377601556,49.6752531823391,-71312.2886637009,-71262.6134105185,-6.6278,13,2.1978
380,0.0326,36.647472209358461726,364.5153116519966261,251605.31808377601556,50.928105952972,-71313.5415701678,-71262.6134642148,-6.6278,13,2.2362
390,0.0338,37.458812728154157412,358.09130904091239245,251605.31808377601556,52.0556062528321,-71314.6693287552,-71262.6137225023,-6.6278,16,2.2782
400,0.0350,38.000910523701968202,324.50912150688344582,251605.31808377601556,52.8089464507812,-71315.4229276274,-71262.6139811766,-6.6278,16,2.3236
410,0.0362,38.027384738586057722,309.29100644420674371,251605.31808377601556,52.8457370270298,-71315.4597314856,-71262.6139944585,-6.6278,16,2.3080
420,0.0375,37.603405998451385983,297.46351598834678498,251605.31808377601556,52.2565440241391,-71314.8701292011,-71262.6135851769,-6.6278,16,2.2431
430,0.0387,36.938130620011527583,292.99033152656903667,251605.31808377601556,51.332026917815,-71313.9455032837,-71262.6134763659,-6.6278,16,2.1806
440,0.0401,36.111812151966212525,294.15697657338125737,251605.31808377601556,50.1837121240661,-71312.7971078468,-71262.6133957227,-6.6278,16,2.1212
450,0.0415,35.183678397771849689,297.28237838316260877,251605.31808377601556,48.8939070891619,-71311.5072412111,-71262.6133341219,-6.6278,16,2.0658
460,0.0430,34.202916808920882374,300.04395904742830226,251605.31808377601556,47.5309664250347,-71310.1442465171,-71262.6132800921,-6.6278,16,2.0161
470,0.0446,33.22192075898628616,301.95475089701591287,251605.31808377601556,46.1676999360091,-71308.7809257134,-71262.6132257774,-6.6278,16,1.9741
480,0.0463,32.353567896826206152,304.82363460934658406,251605.31808377601556,44.9609709611969,-71307.5741578916,-71262.6131869304,-6.6278,16,1.9448
490,0.0481,31.706041396768860352,312.49573814691467533,251605.31808377601556,44.0611190419735,-71306.6743152634,-71262.6131962215,-6.6278,16,1.9322
500,0.0499,31.289147788092652291,329.67535052422630315,251605.31808377601556,43.4817720749443,-71306.095044734,-71262.613272659,-6.6278,18,1.9373
510,0.0517,31.046983446376898996,360.62864939107089413,251605.31808377601556,43.1452421450633,-71305.7586475528,-71262.6134054078,-6.6278,16,1.9609
520,0.0534,30.882623941218998453,403.38114805368167026,251605.31808377601556,42.9168357151398,-71305.5303458989,-71262.6135101838,-6.6278,16,1.9997
530,0.0550,30.710513172343627986,450.96091750204044502,251605.31808377601556,42.6776575414623,-71305.2911951918,-71262.6135376504,-6.6278,16,2.0476
540,0.0565,30.519420307454186769,490.24890641218308929,251605.31808377601556,42.4121004079621,-71305.0255686876,-71262.6134682796,-6.6278,16,2.1021
550,0.0579,30.357831140957205918,514.61073760603756,251605.31808377601556,42.1875438506858,-71304.8009745817,-71262.613430731,-6.6278,16,2.1613
560,0.0592,30.266586388440806843,523.39973039745643746,251605.31808377601556,42.0607432245127,-71304.6741339806,-71262.6133907561,-6.6278,16,2.2241
570,0.0605,30.269791113333344157,522.85881342646268877,251605.31808377601556,42.0651967532021,-71304.6785700705,-71262.6133733173,-6.6278,16,2.2632
580,0.0618,30.297821071993205067,500.64912075313628748,251605.31808377601556,42.1041493089563,-71304.717795631,-71262.613646322,-6.6278,16,2.2650
590,0.0631,30.305970301184380844,486.37449391599290038,251605.31808377601556,42.115474095706,-71304.7290024926,-71262.6135283969,-6.6278,16,2.2710
600,0.0644,30.388829078345807488,479.86301657511836538,251605.31808377601556,42.2306209347104,-71304.844117984,-71262.6134970493,-6.6278,16,2.2812
610,0.0657,30.572211482689777284,477.75109203199701824,251605.31808377601556,42.485463027638,-71305.099000327,-71262.6135372993,-6.6278,16,2.2949
620,0.0670,30.803615900779860226,459.7150888083615996,251605.31808377601556,42.8070401518433,-71305.4207185147,-71262.6136783628,-6.6278,17,2.3040
630,0.0684,30.951656110504121244,439.7366944710697112,251605.31808377601556,43.0127680515212,-71305.62654714,-71262.6137790884,-6.6278,17,2.3169
640,0.0698,30.907224349494054394,431.82122007614322001,251605.31808377601556,42.9510223076546,-71305.5648581122,-71262.6138358046,-6.6278,22,2.3066
650,0.0712,30.625599553878032566,426.18149940753835381,251605.31808377601556,42.5596551391858,-71305.1733828972,-71262.613727758,-6.6278,26,2.2712
660,0.0727,30.163838518009487899,418.36730046047733822,251605.31808377601556,41.9179569935314,-71304.5314642782,-71262.6135072847,-6.6278,33,2.2404
670,0.0743,29.633211230688136339,405.50634159091094944,251605.31808377601556,41.1805570834951,-71303.7939833733,-71262.6134262898,-6.6278,35,2.2154
680,0.0761,29.122707098274599247,399.77201114429158224,251605.31808377601556,40.471121835234,-71303.0844685551,-71262.6133467199,-6.6278,34,2.1974
690,0.0780,28.721801643786601943,400.1895016800636995,251605.31808377601556,39.9139932194689,-71302.5272833068,-71262.6132900874,-6.6278,36,2.1888
700,0.0802,28.536404492798151722,404.67391865410991159,251605.31808377601556,39.6563512818482,-71302.2696374554,-71262.6132861736,-6.6278,36,2.1927
710,0.0829,28.680317447714511303,410.03609478928041199,251605.31808377601556,39.8563436353212,-71302.4697246663,-71262.613381031,-6.6278,38,2.2148
