Step,Time,Temp,Pressure,Volume,EnergyKinetic,EnergyPotential,EnergyTotal,EnergyTotAtom
3600,3.6000,10.089931244242315245,-146.34244735197250975,251388.35631651812582,14.0217334644367,-71314.561282363,-71300.5395488986,-6.6340
3700,3.7000,9.8993108488712557858,-154.49252700563718577,251388.35631651812582,13.7568329104013,-71314.2963555024,-71300.539522592,-6.6340
3800,3.8000,9.8828658605120569547,-154.25172833966939834,251388.35631651812582,13.7339797077365,-71314.2735038228,-71300.5395241151,-6.6340
3900,3.9000,10.231165305844738711,-143.32355413867944094,251388.35631651812582,14.2180030246499,-71314.7575778539,-71300.5395748293,-6.6340
4000,4.0000,9.8437728756352420589,-154.76152172596997048,251388.35631651812582,13.6796531319648,-71314.2191679566,-71300.5395148247,-6.6340
4100,4.1000,9.8936980363119335635,-153.13686745715520487,251388.35631651812582,13.7490329205116,-71314.2885479025,-71300.539514982,-6.6340
4200,4.2000,10.130900425171335044,-145.464823338399043,251388.35631651812582,14.0786673444937,-71314.6182151336,-71300.5395477891,-6.6340
4300,4.3000,9.8188548579894767698,-154.48706334168571175,251388.35631651812582,13.6450251653877,-71314.1845303517,-71300.5395051863,-6.6340
4400,4.4000,9.8346974965982738581,-153.76553560384186881,251388.35631651812582,13.6670412971698,-71314.2065450412,-71300.5395037441,-6.6340
4500,4.5000,10.046756036376390142,-148.10853691104793484,251388.35631651812582,13.9617339220896,-71314.5012762307,-71300.5395423087,-6.6340
4600,4.6000,9.9620038322953199383,-151.43086030532595032,251388.35631651812582,13.8439558334801,-71314.3834968009,-71300.5395409674,-6.6340
4700,4.7000,10.052658328239431285,-149.85179535381794835,251388.35631651812582,13.9699361943678,-71314.5094988787,-71300.5395626843,-6.6340
4800,4.8000,10.342105850746508011,-141.9635814716755533,251388.35631651812582,14.3721744172349,-71314.9117865879,-71300.5396121706,-6.6340
4900,4.9000,9.9283155778666074553,-154.07197769202241489,251388.35631651812582,13.7971400809198,-71314.3366825864,-71300.5395425055,-6.6340
5000,5.0000,9.9765409468810215543,-149.86147263062377988,251388.35631651812582,13.8641577100964,-71314.4036855426,-71300.5395278325,-6.6340
5100,5.1000,10.056379481872117054,-147.44111009353696318,251388.35631651812582,13.9751073915895,-71314.5146484799,-71300.5395410883,-6.6340
5200,5.2000,9.8346623251783533703,-154.11246577271978708,251388.35631651812582,13.666992420298,-71314.2065023418,-71300.5395099215,-6.6340
5300,5.3000,9.858895779176053864,-154.81590301421061895,251388.35631651812582,13.7006690653269,-71314.2401799331,-71300.5395108677,-6.6340
5400,5.4000,10.012927890168295875,-146.66851299403674602,251388.35631651812582,13.9147237653062,-71314.4542524964,-71300.5395287311,-6.6340
5500,5.5000,9.8938161040495788967,-152.91987044571953902,251388.35631651812582,13.7491969963916,-71314.2887119637,-71300.5395149673,-6.6340
5600,5.6000,9.8900062938533235268,-151.00899962347870087,251388.35631651812582,13.7439025952873,-71314.2834073356,-71300.5395047403,-6.6340
5700,5.7000,9.8099761223090720108,-155.73598991691389415,251388.35631651812582,13.6326866011103,-71314.1721863144,-71300.5394997133,-6.6340
5800,5.8000,10.020504243088087293,-149.34266593040749171,251388.35631651812582,13.9252524397543,-71314.4647845043,-71300.5395320645,-6.6340
5900,5.9000,9.9224034743065754327,-151.61577820751043078,251388.35631651812582,13.7889241735636,-71314.3284450981,-71300.5395209245,-6.6340
6000,6.0000,10.027584597157996882,-150.14123426456831112,251388.35631651812582,13.9350918365944,-71314.4746411469,-71300.5395493103,-6.6340
6100,6.1000,10.103698573225569746,-147.39090246279025109,251388.35631651812582,14.0408655886155,-71314.5804279636,-71300.539562375,-6.6340
6200,6.2000,10.01017094038287425,-149.30587069508578679,251388.35631651812582,13.9108924988555,-71314.4504387204,-71300.5395462216,-6.6340
6300,6.3000,10.092471998105144948,-148.31584473356042508,251388.35631651812582,14.0252642886416,-71314.5648218761,-71300.5395575874,-6.6340
6400,6.4000,9.8786912631861909517,-155.48238609145451505,251388.35631651812582,13.7281783707792,-71314.2677128673,-71300.5395344966,-6.6340
6500,6.5000,10.117359532253654919,-147.04703142913106717,251388.35631651812582,14.0598498930397,-71314.5994181529,-71300.5395682599,-6.6340
6600,6.6000,10.237270671003722455,-144.07055715098840665,251388.35631651812582,14.2264875029769,-71314.7660758851,-71300.5395883821,-6.6340
6700,6.7000,9.914562964465810424,-154.0359730070418891,251388.35631651812582,13.7780284066301,-71314.3175711385,-71300.5395427319,-6.6340
6800,6.8000,10.013766974073556426,-150.557098619053221,251388.35631651812582,13.9158898199194,-71314.4554378331,-71300.5395480132,-6.6340
6900,6.9000,10.152784695319647668,-145.77491781505705148,251388.35631651812582,14.109079385533,-71314.6486499295,-71300.539570544,-6.6340
7000,7.0000,9.9459643064178724359,-152.27736254310514141,251388.35631651812582,13.8216660922217,-71314.3612059781,-71300.5395398859,-6.6340
7100,7.1000,9.9896437141297020901,-150.71477070728192871,251388.35631651812582,13.8823663089025,-71314.4219142913,-71300.5395479824,-6.6340
7200,7.2000,10.180113059181035595,-145.44818559833692007,251388.35631651812582,14.1470569519611,-71314.6866356135,-71300.5395786616,-6.6340
7300,7.3000,9.9538768770160732657,-153.22682972649903377,251388.35631651812582,13.8326620002473,-71314.3722072817,-71300.5395452814,-6.6340
7400,7.4000,9.9302723073411645061,-152.7155407610038651,251388.35631651812582,13.7998593005547,-71314.3393885883,-71300.5395292877,-6.6340
7500,7.5000,10.084873600098982038,-148.56576107324991654,251388.35631651812582,14.0147049786701,-71314.5542637147,-71300.539558736,-6.6340
7600,7.6000,10.031927280041184503,-150.04311337833459561,251388.35631651812582,13.9411267579863,-71314.4806782609,-71300.5395515029,-6.6340
7700,7.7000,9.906947316161087258,-153.41804461610780663,251388.35631651812582,13.7674451243358,-71314.3069783871,-71300.5395332628,-6.6340
7800,7.8000,10.214600458360985513,-144.14674049836884251,251388.35631651812582,14.194983256658,-71314.7345566454,-71300.5395733888,-6.6340
7900,7.9000,9.9798158120380051628,-150.35657887515404241,251388.35631651812582,13.8687087110152,-71314.4082522798,-71300.5395435688,-6.6340
8000,8.0000,9.9384373415547919706,-152.7578736152281067,251388.35631651812582,13.8112060511618,-71314.3507345679,-71300.5395285167,-6.6340
8100,8.1000,10.050934932814588052,-148.80047172511257259,251388.35631651812582,13.9675412334195,-71314.5070794601,-71300.5395382266,-6.6340
8200,8.2000,9.839934454518262541,-153.88615691944175978,251388.35631651812582,13.6743189709558,-71314.2138354344,-71300.5395164635,-6.6340
8300,8.3000,9.9958786157829369046,-150.18475267459609768,251388.35631651812582,13.8910308009632,-71314.4305581167,-71300.5395273158,-6.6340
8400,8.4000,9.9440765141637132984,-150.70642366967322801,251388.35631651812582,13.819042672975,-71314.3585585558,-71300.5395158828,-6.6340
8500,8.5000,9.7734757205005848846,-155.57956024942910744,251388.35631651812582,13.5819628753371,-71314.1214586377,-71300.5394957624,-6.6340
8600,8.6000,10.019757427600977095,-148.9655301902051292,251388.35631651812582,13.9242146083306,-71314.4637482422,-71300.5395336339,-6.6340
8700,8.7000,10.167528034364540446,-146.58144166892802218,251388.35631651812582,14.1295678472934,-71314.6691350605,-71300.5395672132,-6.6340
8800,8.8000,9.9095255568066900054,-154.25573298123816812,251388.35631651812582,13.7710280430163,-71314.3105602475,-71300.5395322045,-6.6340
8900,8.9000,9.8712124110476544558,-152.83660706387249206,251388.35631651812582,13.7177851908091,-71314.2572931284,-71300.5395079376,-6.6340
9000,9.0000,9.963636902135716511,-151.59920377217383702,251388.35631651812582,13.8462252711479,-71314.3857511357,-71300.5395258645,-6.6340
9100,9.1000,9.9972731064059825457,-149.34701286920019925,251388.35631651812582,13.8929686908617,-71314.4325064661,-71300.5395377752,-6.6340
9200,9.2000,9.9464376309272068966,-153.04446343070674175,251388.35631651812582,13.8223238598468,-71314.3618653385,-71300.5395414786,-6.6340
9300,9.3000,10.225910084251227161,-146.68480840534732579,251388.35631651812582,14.2106999702785,-71314.7502914841,-71300.5395915138,-6.6340
9400,9.4000,10.126707159172982031,-148.61849022716100421,251388.35631651812582,14.0728400641336,-71314.6124224949,-71300.5395824308,-6.6340
9500,9.5000,10.104524063870705675,-150.41998919292419146,251388.35631651812582,14.0420127530038,-71314.5816003756,-71300.5395876226,-6.6340
9600,9.6000,10.163296990276409204,-148.58106015664475308,251388.35631651812582,14.1236880676355,-71314.6632675531,-71300.5395794855,-6.6340
